name,kategori,harga,toko,alamat,kontak,gambar
Full Face Mask AmScuD Adult Reef Vision,Mask,997500,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/BANNER/AMSCUD%20FULL%20FACE%20MASK/REEFVISION1-TOSCA-550x550.jpg
Mask Cressi Focus,Mask,799000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80225",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/CRESSI/MASK/MASK_CRESSI_FOCUS_BLACK-550x550.jpg
Mask Cressi F-Dual,Mask,1099000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80226",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/CRESSI/CRESSI_MASK_F-DUAL_BLACK_RED_01-550x550.jpg
Mask Gull Mantis 5,Mask,2650000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80227",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/GULL/MASK/MANTIS%205/Mantis5_B_SOrange-1240x1240-550x550.png
Mask Gull Vader,Mask,2750000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80228",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/GULL/MASK/VADER/Vader_M_GlassWhite_BS-1240x1240-550x550.png
Fin Cressi Pro Start - Black,Fin,1200000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80229",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/FINS/CRESSI/FIN_CRESSI_PRO_STAR_BLACK-550x550.jpg
Fin Cressi Gara Modular Sprint,Fin,2099000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80230",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/FINS/CRESSI/FIN_CRESSI_MODULAR_SPRINT_01-550x550.jpg
Regulator Cressi MC9 XS Compact Pro,Regulator,5999000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80231",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/REGULATOR%20SET/CRESSI/REGULATOR_CRESSI_MC9_PRO_06%20(1)-550x550.jpg
Regulator AmScuD ZX10 Lite,Regulator,5596000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80232",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/REGULATOR%20SET/AMSCUD/AMSCUD%20REG%20ZX10%20LITE%20NEW-550x550.jpg
Regulator Mares Prestige 15X,Regulator,5160000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80233",0878-6105-0111,https://www.okdiveshop.com/image/cache/catalog/REGULATOR%20SET/MARES/416234%20PRESTIGE-550x550.jpg
