name,kategori,harga,toko,alamat,kontak,gambar,path-gambar
Full Face Mask AmScuD Adult Reef Vision,Mask,997500,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-6105-0111,okdive-mask-reefvision.jpg,static/image/okdive-mask-reefvision.jpg
Mask Cressi Focus,Mask,799000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80225",0878-6105-0111,okdive-mask-cressifocusblack.jpg,static/image/okdive-mask-cressifocusblack.jpg
Mask Cressi F-Dual,Mask,1099000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80226",0878-6105-0111,okdive-mask-cressidualblackred.jpg,static/image/okdive-mask-cressidualblackred.jpg
Mask Gull Mantis 5,Mask,2650000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80227",0878-6105-0111,okdive-mask-mantis5orange.png,static/image/okdive-mask-mantis5orange.png
Mask Gull Vader,Mask,2750000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80228",0878-6105-0111,okdive-mask-vaderglasswhite.png,static/image/okdive-mask-vaderglasswhite.png
Fin Cressi Pro Start - Black,Fin,1200000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80229",0878-6105-0111,okdive-fin-cressiprostarblack.jpg,static/image/okdive-fin-cressiprostarblack.jpg
Fin Cressi Gara Modular Sprint,Fin,2099000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80230",0878-6105-0111,okdive-fin-cressimodularsprint.jpg,static/image/okdive-fin-cressimodularsprint.jpg
Regulator Cressi MC9 XS Compact Pro,Regulator,5999000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80231",0878-6105-0111,okdive-regulator-cressimc9pro.jpg,static/image/okdive-regulator-cressimc9pro.jpg
Regulator AmScuD ZX10 Lite,Regulator,5596000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80232",0878-6105-0111,okdive-regulator-amscud.jpg,static/image/okdive-regulator-amscud.jpg
Regulator Mares Prestige 15X,Regulator,5160000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80233",0878-6105-0111,416234 PRESTIGE-550x550.jpg,static/image/416234 PRESTIGE-550x550.jpg
Wetsuit AmScuD Active 3mm,Wetsuit,1237500,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80234",0878-6105-0111,WETSUIT_AMSCUD_ACTIVE_01-550x550.jpg,static/image/WETSUIT_AMSCUD_ACTIVE_01-550x550.jpg
Wetsuit AmScuD Passion 2mm,Wetsuit,2025000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80235",0878-6105-0111,AMSCUD PASSION REVERSIBLE NEW-550x550.jpg,static/image/AMSCUD PASSION REVERSIBLE NEW-550x550.jpg
Wetsuit AmScuD Marlin Reversible 3mm,Wetsuit,2362500,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80236",0878-6105-0111,AMSCUD MARLIN REVERSIBLE BL NEW3-550x550.jpg,static/image/AMSCUD MARLIN REVERSIBLE BL NEW3-550x550.jpg
Wetsuit Cressi Maya 2.5mm,Wetsuit,2285000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80237",0878-6105-0111,WETSUIT_MAYA_V2_SERONG_KANAN_02-550x550.jpg,static/image/WETSUIT_MAYA_V2_SERONG_KANAN_02-550x550.jpg
Wetsuit Cressi Fast V3.0,Wetsuit,2428000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80238",0878-6105-0111,WETSUIT_FAST_TERBARU_001-550x550.jpg,static/image/WETSUIT_FAST_TERBARU_001-550x550.jpg
Glove AmScuD X-Stretch 3.5mm,Glove,374625,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80239",0878-6105-0111,AMSCUD GLOVE X-STRETCH 1-550x550.jpg,static/image/AMSCUD GLOVE X-STRETCH 1-550x550.jpg
Glove Mares Flexa Touch,Glove,640000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80240",0878-6105-0111,76734520_978e01e2-f7f0-415c-9c3d-fde50991e575_500_500-550x550.jpg,static/image/76734520_978e01e2-f7f0-415c-9c3d-fde50991e575_500_500-550x550.jpg
Glove Mares Amara 2mm,Glove,640000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80241",0878-6105-0111,amara1-550x550.jpg,static/image/amara1-550x550.jpg
Hood AmScuD X-Stretch,Wetsuit,363750,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80242",0878-6105-0111,AMSCUD HOOD X-STRETCH 1-550x550.jpg,static/image/AMSCUD HOOD X-STRETCH 1-550x550.jpg
Hood AmScuD X-Ghixel 3mm,Wetsuit,390000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80243",0878-6105-0111,HOOD_AMSCUD_X-GHIXEL_02-550x550.jpg,static/image/HOOD_AMSCUD_X-GHIXEL_02-550x550.jpg
Hood Mares Comfort 5.3mm,Wetsuit,399600,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80244",0878-6105-0111,76734520_9ccc194d-dae4-4d0e-8ee0-6c2506ca792e_451_451-550x550.jpg,static/image/76734520_9ccc194d-dae4-4d0e-8ee0-6c2506ca792e_451_451-550x550.png
Camera Go Pro Hero 13 Black,Others,7500000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80245",0878-6105-0111,gopro-hero13-black-01-550x550h.jpg,static/image/gopro-hero13-black-01-550x550h.jpg
Camera Akaso V50X - Action Camera,Others,1524000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80246",0878-6105-0111,86a6be95-eaa0-458c-98f0-785d5abd3772-550x550.jpg,static/image/86a6be95-eaa0-458c-98f0-785d5abd3772-550x550.jpg
Camera Insta 360 X4 - Action Camera,Others,9250000,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80247",0878-6105-0111,X4-550x550w.jpg,static/image/X4-550x550w.png
AmScuD Tactical Neoprene Attachment,Others,449625,Ocean King Dive Shop,"Jl. Bypass Ngurah Rai No.19, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80248",0878-6105-0111,KOBOI-POCKET-550x550.jpg,static/image/KOBOI-POCKET-550x550.jpg
Glove Beuchat Elaskin Nylon 2mm 212202 – 212204,Glove,629606,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,GLOVE-BEUCHAT-ELASKIN-BALIDIVESHOP.jpg,static/image/GLOVE-BEUCHAT-ELASKIN-BALIDIVESHOP.jpg
Glove Fourth Element Stretch CR Neoprene 3mm GL023,Glove,1250000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,GLOVE-FOURTH-ELEMENT.jpg,static/image/GLOVE-FOURTH-ELEMENT.jpg
Hood IST Pro Ear 5mm HD6,Wetsuit,535000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,ear-Pro-Hood-2.jpg,static/image/ear-Pro-Hood-2.jpg
Hood Vest Zeepro Stretch CR Neoprene 2mm,Wetsuit,999000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,VEST-HOOD-ZEEPRO.jpg,static/image/VEST-HOOD-ZEEPRO.jpg
Jacket Wetsuit Beuchat Atoll Seaweed Men 2mm 79415,Wetsuit,2600000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,atoll-zipped-jacket-2mm-seaweedman-balidiveshop-1-956x838.jpg,static/image/atoll-zipped-jacket-2mm-seaweedman-balidiveshop-1-956x838.jpg
Jacket Wetsuit Beuchat Atoll Seaweed Women 2mm 79515,Wetsuit,2600000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,JACKET-BEUCHAT-ATOLL-2MM-SEAWEED-WOMEN-balidiveshop-1.jpg,static/image/JACKET-BEUCHAT-ATOLL-2MM-SEAWEED-WOMEN-balidiveshop-1.jpg
